commodity,unit,date,price
Brinjal,1 Kg,2025-08-11,42.6
Black Pepper (whole),100 gm,2025-08-11,87.41
Coriander (whole),250 gm,2025-08-11,37.04
Cummin Seed (whole),100 gm,2025-08-11,42.14
Red Chillies (whole),100 gm,2025-08-11,27.83
Turmeric (powder),50 gm,2025-08-11,16.24
Banana,1 Kg,2025-08-11,50.02
Rice,1 Kg,2025-08-10,41.84
Wheat,1 Kg,2025-08-10,31.72
Atta (Wheat),1 Kg,2025-08-10,37.03
Gram Dal(Bharat Dal Adjusted),1 Kg,2025-08-10,81.98
Gram Dal,1 Kg,2025-08-10,85.86
Tur/Arhar Dal,1 Kg,2025-08-10,116.24
Urad Dal,1 Kg,2025-08-10,113.93
Moong Dal,1 Kg,2025-08-10,109.27
Masoor Dal,1 Kg,2025-08-10,87.94
Sugar,1 Kg,2025-08-10,45.86
Milk (₹/ltr),1 Ltr,2025-08-10,58.53
Groundnut Oil (Packed),1 Kg,2025-08-10,187.23
Mustard Oil (Packed),1 Kg,2025-08-10,187.11
Vanaspati (Packed),1 Kg,2025-08-10,155.49
Soya Oil (Packed),1 Kg,2025-08-10,147.29
Sunflower Oil (Packed),1 Kg,2025-08-10,160.0
Palm Oil (Packed),1 Kg,2025-08-10,131.3
Gur,1 Kg,2025-08-10,55.63
Tea Loose,1 Kg,2025-08-10,268.1
Salt Pack (Iodised),1 Kg,2025-08-10,21.46
Potato,1 Kg,2025-08-10,25.12
Onion,1 Kg,2025-08-10,27.02
Tomato,1 Kg,2025-08-10,52.54
Bajra (whole),1 Kg,2025-08-10,37.38
Jowar (whole),1 Kg,2025-08-10,42.36
Maida (wheat),1 Kg,2025-08-10,40.5
Ragi (whole),1 kg,2025-08-10,53.83
Suji (whole),1 Kg,2025-08-10,44.6
Besan,1 Kg,2025-08-10,95.57
Desi Ghee,1 Kg,2025-08-10,658.19
Butter (Pasteurised),100 gm,2025-08-10,58.91
Eggs ,1 Dozen,2025-08-10,75.65
Brinjal,1 Kg,2025-08-10,40.38
Black Pepper (whole),100 gm,2025-08-10,86.68
Coriander (whole),250 gm,2025-08-10,36.24
Cummin Seed (whole),100 gm,2025-08-10,41.23
Red Chillies (whole),100 gm,2025-08-10,27.77
Turmeric (powder),50 gm,2025-08-10,15.96
Banana,1 Kg,2025-08-10,49.04
Rice,1 Kg,2025-08-09,42.25
Wheat,1 Kg,2025-08-09,31.56
Atta (Wheat),1 Kg,2025-08-09,37.08
Gram Dal(Bharat Dal Adjusted),1 Kg,2025-08-09,82.81
Gram Dal,1 Kg,2025-08-09,86.84
Tur/Arhar Dal,1 Kg,2025-08-09,117.87
Urad Dal,1 Kg,2025-08-09,114.43
Moong Dal,1 Kg,2025-08-09,110.39
Masoor Dal,1 Kg,2025-08-09,88.89
Sugar,1 Kg,2025-08-09,46.45
Milk (₹/ltr),1 Ltr,2025-08-09,59.72
Groundnut Oil (Packed),1 Kg,2025-08-09,187.23
Mustard Oil (Packed),1 Kg,2025-08-09,187.0
Vanaspati (Packed),1 Kg,2025-08-09,156.03
Soya Oil (Packed),1 Kg,2025-08-09,147.36
Sunflower Oil (Packed),1 Kg,2025-08-09,160.17
Palm Oil (Packed),1 Kg,2025-08-09,130.13
Gur,1 Kg,2025-08-09,57.05
Tea Loose,1 Kg,2025-08-09,274.09
Salt Pack (Iodised),1 Kg,2025-08-09,21.29
Potato,1 Kg,2025-08-09,25.48
Onion,1 Kg,2025-08-09,28.36
Tomato,1 Kg,2025-08-09,52.71
Bajra (whole),1 Kg,2025-08-09,38.02
Jowar (whole),1 Kg,2025-08-09,42.92
Maida (wheat),1 Kg,2025-08-09,41.31
Ragi (whole),1 kg,2025-08-09,53.44
Suji (whole),1 Kg,2025-08-09,46.96
Besan,1 Kg,2025-08-09,97.33
Desi Ghee,1 Kg,2025-08-09,663.52
Butter (Pasteurised),100 gm,2025-08-09,59.33
Eggs ,1 Dozen,2025-08-09,77.05
Brinjal,1 Kg,2025-08-09,41.82
Black Pepper (whole),100 gm,2025-08-09,87.53
Coriander (whole),250 gm,2025-08-09,37.5
Cummin Seed (whole),100 gm,2025-08-09,43.28
Red Chillies (whole),100 gm,2025-08-09,28.34
Turmeric (powder),50 gm,2025-08-09,16.12
Banana,1 Kg,2025-08-09,50.79
Rice,1 Kg,2025-08-08,42.71
Wheat,1 Kg,2025-08-08,31.56
Atta (Wheat),1 Kg,2025-08-08,36.96
Gram Dal(Bharat Dal Adjusted),1 Kg,2025-08-08,83.25
Gram Dal,1 Kg,2025-08-08,87.35
Tur/Arhar Dal,1 Kg,2025-08-08,118.9
Urad Dal,1 Kg,2025-08-08,114.9
Moong Dal,1 Kg,2025-08-08,110.65
Masoor Dal,1 Kg,2025-08-08,89.22
Sugar,1 Kg,2025-08-08,46.24
Milk (₹/ltr),1 Ltr,2025-08-08,59.23
Groundnut Oil (Packed),1 Kg,2025-08-08,189.09
Mustard Oil (Packed),1 Kg,2025-08-08,186.35
